毛泽东;陈伯达;许世友;黄永胜
周恩来;陈延年;邓中夏;孙炳文
温家宝;陈锡联;董必武;王洪文
朱德;贺龙;陈毅;粟裕
刘少奇;胡耀邦;李先念;汪东兴
邓小平; 荣毅仁;李瑞环;杨尚昆
江泽民;朱镕基;田纪云;刘华清
胡锦涛;吴邦国;张立昌;曾庆红
习近平;李源潮;曾培炎;刘云山
李克强;王乐泉;回良玉;刘延东
王岐山;张德江;俞正声;贺国强
栗战书;王兆国;周永康;李长春
汪洋;黄菊;罗干;李鹏
孙中山;蔡元培;陈其美;唐绍仪
蒋介石;李宗仁;汪精卫;白崇禧
彭德怀;华国锋;赵紫阳;朱镕基
刘德华;任达华;林子祥;洪金宝
成龙;韩磊;陈赫;谢贤
周星驰;陈可辛;叶伟信;许绍雄
周润发;邓光荣;陈锦鸿;谢霆锋
邓丽君;田馥甄;林凤娇;梅艳芳
梁朝伟;张家辉;刘青云;何家驹
玲花;云朵;何静;格格
张国荣;黄贯中;林子祥;陈百强
胡歌;郑恺;陈晓;夏雨
赵雅芝;周秀兰;陈玉莲;李嘉欣
林青霞;蓝洁瑛;黄纪莹;钟楚红
朱茵;张雯;宋佳;董洁
邱淑贞;陈宝莲;李婉华;叶玉卿
黄奕;曾黎;姜珊;梅婷
张曼玉;陈松伶;刘嘉玲;袁洁莹
刘亦菲;郭碧婷;刘诗诗;黄圣依
王祖贤;周慧敏;吴君如;周海媚
温碧霞;杨恭如;关之琳;邓紫棋
李小龙;赵文卓;陈国坤;袁和平
李连杰;刘家良;张卫健;赵志凌
贾玲;宋宁;金珠;姚晨
陈建斌;王耀庆;霍建华;汤志伟
苏有朋;金城武;陈小春;朱孝天
王力宏;薛之谦;潘玮柏;毛不易
张学友;林子祥;谭咏麟;周华健
郭富城;古巨基;古天乐;尔冬升
王菲;潘虹;那英;黄龄
杨钰莹;梁静茹;张韶涵;张靓颖
周杰伦;萧敬腾;张信哲;陈奕迅
刘欢;孙楠;周华;刀郎
韩红;田震;柏文;韦唯
赵本山;黄子华;曾志伟;郑中基
小沈阳;周云鹏;喻恩泰;王小利
秦沛;郭峰;侯勇;关菁
甄子丹;刘家辉;于和伟;钱小豪
宋丹丹;马丽娟;沈春阳;潘凤霞
郭冬临;寇振海;李文启;常汝言
朱婷;颜妮;丁霞;孙燕
范伟;钱程;李俊;秦雷
郭达;何军;刘劲;刘流
朱时茂;李玉刚;许亚军;李国盛
宋小宝;罗家英;刘小光;郑中基
蔡明;杨蕾;韩影;闫妮
沈腾;张译;尹正;艾伦
马丽;贾玲;王琦;王智
牛莉;宁静;谢娜;袁立
冯巩;姜鹏;邵峰;刘伟
张小斐;高秀敏;黄小娟;陈小艺
聂海胜;杨利伟;费俊龙;景海鹏
黄宏;贾冰;乔杉;姜超
林永健;孙红雷;林子聪;王祖蓝
赵忠祥;刘栋栋;王景愚;张泽群
朱军;赵普;杨帆;张韬
倪萍;李娟;曹颖;杜宪
周涛;刘涛;文清;朱迅
董卿;张蕾;谢楠;闻阳
李思思;张舒越;敬一丹;李梓萌
郭晶晶;柯婷婷;陈若琳;胡亚丹
撒贝宁;朱广权;郑天亮;姚雪松
潘长江;巩汉林;潘斌龙;石富宽
朱迅;陈蕾;龙洋;管彤
任鲁豫;李晓东;赵一天;王金健
杨澜;董倩;徐俐;黄薇
白岩松;陈志峰;马洪涛;任志宏
崔永元;李维嘉;杜海涛;李自健
赵薇;万茜;蒋欣;倪妮
林心如;陈乔恩;贾静雯;伊能静
范冰冰;张馨予;高圆圆;张雨绮
欧阳夏丹;李莎旻子;赵韩樱子;吉克隽逸
佟丽娅;张靓颖;左小青;王心凌
康辉;刚强;鲁健;刘洋
海霞;周涛;柴静;张越
林志玲;徐熙媛;陈意涵;侯佩岑
张国立;郭凯敏;张涵予;冯小刚
何鸿燊;陈荣炼;霍启刚;李嘉诚
张丰毅;王劲松;张艺谋;王新军
唐国强;李雪健;马少骅;李定保
王健林;王传福;陈保国;许世辉
俞敏洪;何凯文;蒋中庭;肖秀荣
蔡康永;徐乃麟;吴宗宪;倪志强
张嘉译;雷佳音;周立波;周一围
张铁林;段奕宏;王传君;李双江
六小龄童;欧阳震华;扎西平措;欧阳奋强
章子怡;霍思燕;李小冉;蒋勤勤
倪大红;韩童生;徐少华;杨志刚
姚明;周琦;林丹;孙杨
刘翔;孙鹏;高健;李宁
邓亚萍;张怡宁;伏明霞;李晓霞
郎平;丁霞;颜妮;张娴
黄渤;黄轩;张译;杨烁
邓婕;史可;周月;何晴
徐峥;廖凡;黄磊;王凯
王宝强;候京健;张大大;郭晓冬
黄晓明;贾乃亮;朱亚文;彭冠英
郭德纲;李建华;马三立;侯耀文
孙俪;刘涛;宋佳;蒋欣
巩俐;周迅;陶虹;汤唯
张少华;王丽云;归亚蕾;严敏求
斯琴高娃;才旦卓玛;阿鲁阿卓;慕容婉儿
于谦;笑林;王迅;马季
岳云鹏;曹云金;郭麒麟;阎鹤祥
孙越;苗阜;梁超;侯震
王立群;易中天;纪连海;钱文忠
莫言;王蒙;路遥;曹禺
屠呦呦;吴健雄;何泽慧;陈化兰
马云;黄峥;张勇;王兴
马化腾;马晓轶;任宇昕;许家印
任正非;周鸿祎;张一鸣;张文中
李彦宏;平晓黎;曹晓冬;宋志平
刘强东;宗庆后;王振辉;黄宣德
华春莹;范慧娟;章启月;李金华
李开复;李书福;黄克兴;张近东
雷军;王翔;丁磊;黄立
董明珠;陶华碧;陈丽华;周群飞
孟晚舟;杨惠妍;张嘉蓉;钟慧娟
张文宏;王兴鹏;陈晓峰;刘学源
钟南山;张伯礼;吴孟超;黄旭华
李兰娟;林巧稚;梁毅文;杨崇瑞
王毅;耿爽;洪磊;秦刚
汪文斌;吴学谦;唐家璇;钱其琛
袁隆平;谢华安;杨伯达;黄旭华
张柏芝;钟欣潼;蔡少芬;袁咏仪
冯小刚;陈思诚;高晓松;郭敬明
吴京;陈龙;欧豪;张晋
